,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Lompoc,US,2021-11-07 00:38:30,34.6391,-120.4579,69.94,76,1,11.5,clear sky,0,0
1,Ushuaia,AR,2021-11-07 00:36:10,-54.8,-68.3,42.46,93,90,6.91,light intensity drizzle,0,0
2,Kruisfontein,ZA,2021-11-07 00:38:30,-34.0033,24.7314,58.89,78,100,4.47,overcast clouds,0,0
3,Hithadhoo,MV,2021-11-07 00:38:31,-0.6,73.0833,82.96,69,96,15.97,overcast clouds,0,0
4,Hermanus,ZA,2021-11-07 00:38:31,-34.4187,19.2345,56.89,78,17,5.61,few clouds,0,0
5,Niquelandia,BR,2021-11-07 00:38:31,-14.4739,-48.4597,74.64,80,99,2.1,overcast clouds,0,0
6,Bluff,NZ,2021-11-07 00:36:35,-46.6,168.3333,63.81,80,96,9.55,overcast clouds,0,0
7,Chanika,TZ,2021-11-07 00:38:32,-5.4167,38.0167,66.88,89,87,2.77,overcast clouds,0,0
8,Sao Filipe,CV,2021-11-07 00:35:05,14.8961,-24.4956,78.75,72,57,9.33,broken clouds,0,0
9,Rikitea,PF,2021-11-07 00:38:32,-23.1203,-134.9692,75.72,81,96,15.17,overcast clouds,0,0
10,Balikpapan,ID,2021-11-07 00:38:33,-1.2675,116.8289,83.39,89,20,5.75,few clouds,0,0
11,Adzope,CI,2021-11-07 00:38:33,6.1069,-3.8619,72.77,98,92,2.3,overcast clouds,0,0
12,Naron,ES,2021-11-07 00:38:34,43.5167,-8.1528,52.02,82,0,7.2,clear sky,0,0
13,Kapaa,US,2021-11-07 00:38:34,22.0752,-159.319,84.18,74,40,5.99,light rain,0,0
14,Tuktoyaktuk,CA,2021-11-07 00:38:34,69.4541,-133.0374,9.03,91,12,8.7,few clouds,0,0
15,Cape Town,ZA,2021-11-07 00:35:09,-33.9258,18.4232,58.26,75,0,1.99,clear sky,0,0
16,Mataura,NZ,2021-11-07 00:33:51,-46.1927,168.8643,63.48,35,74,2.13,broken clouds,0,0
17,Port Hedland,AU,2021-11-07 00:38:35,-20.3167,118.5667,80.65,74,75,9.22,broken clouds,0,0
18,Portland,US,2021-11-07 00:34:00,45.5234,-122.6762,49.21,86,75,3.0,moderate rain,0,0
19,Saint George,US,2021-11-07 00:36:05,37.1041,-113.5841,75.79,26,1,1.99,clear sky,0,0
20,Novyy Urgal,RU,2021-11-07 00:38:36,51.0736,132.5642,17.6,49,0,2.62,clear sky,0,0
21,Saskylakh,RU,2021-11-07 00:38:36,71.9167,114.0833,-1.75,98,31,7.54,scattered clouds,0,0
22,Chadiza,ZM,2021-11-07 00:38:36,-14.0678,32.4392,70.27,34,32,3.09,scattered clouds,0,0
23,Griffith,US,2021-11-07 00:38:37,41.5284,-87.4237,55.89,64,1,1.01,clear sky,0,0
24,Vaini,TO,2021-11-07 00:38:37,-21.2,-175.2,82.56,89,75,6.91,broken clouds,0,0
25,Puerto Ayora,EC,2021-11-07 00:38:37,-0.7393,-90.3518,69.37,77,49,9.73,scattered clouds,0,0
26,Ugoofaaru,MV,2021-11-07 00:38:38,5.6667,73.0,82.22,76,100,16.11,overcast clouds,0,0
27,Simbahan,PH,2021-11-07 00:38:38,6.3032,120.5836,84.49,74,53,9.35,broken clouds,0,0
28,Carnarvon,AU,2021-11-07 00:38:38,-24.8667,113.6333,68.07,68,40,21.85,scattered clouds,0,0
29,Saint-Philippe,RE,2021-11-07 00:38:39,-21.3585,55.7679,72.99,81,38,8.93,scattered clouds,0,0
30,Okhotsk,RU,2021-11-07 00:38:39,59.3833,143.3,12.02,82,100,28.01,overcast clouds,0,0
31,Georgetown,MY,2021-11-07 00:38:40,5.4112,100.3354,80.89,87,20,1.01,few clouds,0,0
