City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lompoc,US,69.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
3,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Niquelandia,BR,74.64,overcast clouds,-14.4739,-48.4597,Hotel Suinã
7,Chanika,TZ,66.88,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
8,Sao Filipe,CV,78.75,broken clouds,14.8961,-24.4956,Hotel Xaguate
9,Rikitea,PF,75.72,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,ibis Balikpapan
11,Adzope,CI,72.77,overcast clouds,6.1069,-3.8619,Hôtel AKL
13,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
19,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
22,Chadiza,ZM,70.27,scattered clouds,-14.0678,32.4392,Sankhani Guest House
24,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Puerto Ayora,EC,69.37,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Ugoofaaru,MV,82.22,overcast clouds,5.6667,73.0,Ungoofaaru Inn
27,Simbahan,PH,84.49,broken clouds,6.3032,120.5836,
28,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
29,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
32,Bontang,ID,81.81,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
36,Upata,VE,73.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
37,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
38,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
44,Ponta Do Sol,PT,68.63,scattered clouds,32.6667,-17.1,Hotel do Campo
46,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Capaci,IT,74.12,clear sky,38.1711,13.2393,Hotel Sirenetta
60,Tecolutla,MX,73.83,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
61,Cabo San Lucas,MX,81.05,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Hirara,JP,79.07,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
64,Arraial Do Cabo,BR,69.42,clear sky,-22.9661,-42.0278,Pousada Porto Praia
65,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
